#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T16:59:45Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T16:59:45Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T16:59:45Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T17:59:46Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T17:59:46Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T17:59:46Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T17:59:46Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T17:59:46Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T18:59:46Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T18:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T18:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T18:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T18:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T19:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T19:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T19:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T19:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T19:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T20:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T20:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T20:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T20:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T20:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T21:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-01T21:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T21:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T21:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T21:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T22:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T22:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T22:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T22:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T22:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T23:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T23:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T23:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T23:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T23:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T00:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T00:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T00:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T00:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T00:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T01:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T01:59:44Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T01:59:44Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T01:59:44Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T01:59:44Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T02:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T02:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T02:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T02:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T02:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T03:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-02T03:59:45Z
